#warehouse,container,rack,tray,x,y,UV period,height (in),weight (g),operator,GCMS,
0,0,1,1,5,4,24,6.5,47,tim savas,,
0,0,1,1,6,1,24,6.5,82,tim savas,,0.37
0,0,1,1,6,3,24,9,104,tim savas,,
0,0,1,1,6,5,24,9,93,tim savas,,0.31
0,0,1,1,7,0,24,5,34,tim savas,,
0,0,1,1,7,2,24,4,27,tim savas,,
0,0,1,1,7,4,24,6.5,49,tim savas,,
0,0,1,1,8,1,24,5,32,tim savas,,
0,0,1,1,8,3,24,6,60,tim savas,,
0,0,1,1,8,5,24,6,38,tim savas,,
0,0,1,1,9,0,24,6.5,40,tim savas,,
0,0,1,1,9,2,24,8,53,tim savas,,
0,0,1,1,9,4,24,8,50,tim savas,,
0,0,1,1,10,3,24,7,46,tim savas,,
0,0,1,1,10,5,24,7,93,tim savas,0.32,
0,0,1,1,11,0,24,4.5,18,tim savas,,
0,0,1,1,11,2,24,8,53,tim savas,,
0,0,1,1,11,4,24,6,37,tim savas,,
0,0,1,2,0,1,0,4,45,tim savas,,
0,0,1,2,0,3,0,7,56,tim savas,,
0,0,1,2,0,5,0,6.5,40,tim savas,,
0,0,1,2,1,0,0,8.5,55,tim savas,,
0,0,1,2,1,2,0,6,62,tim savas,,
0,0,1,2,1,4,0,7,64,tim savas,,
0,0,1,2,2,3,0,5.5,48,tim savas,,
0,0,1,2,3,0,0,7,41,tim savas,,
0,0,1,2,3,2,0,6.5,38,tim savas,,
0,0,1,2,3,4,0,6.5,54,tim savas,,
0,0,1,2,4,1,0,5,50,tim savas,,
0,0,1,2,4,3,0,6.5,55,tim savas,,
0,0,1,2,4,5,0,6.5,45,tim savas,,
0,0,1,2,5,0,0,6,39,tim savas,,
0,0,1,2,5,2,0,6.5,59,tim savas,,
0,0,1,2,5,4,0,6,49,tim savas,,
0,0,1,2,6,3,0,7.5,66,tim savas,,
0,0,1,2,7,0,0,6,27,tim savas,,
0,0,1,2,7,2,0,7.5,54,tim savas,,
0,0,1,2,7,4,0,7,59,tim savas,,
0,0,1,2,9,0,0,7,32,tim savas,,
0,0,1,2,9,2,0,7,43,tim savas,,
0,0,1,2,9,4,0,7,53,tim savas,,
0,0,1,2,10,1,0,6,47,tim savas,,
0,0,1,2,10,3,0,8,60,tim savas,,
0,0,1,2,10,5,0,8,73,tim savas,,
0,0,1,2,11,0,0,6,36,tim savas,,
0,0,1,2,11,2,0,7,60,tim savas,,
0,0,1,2,11,4,0,6,32,tim savas,,
0,0,2,0,0,1,4.12,4,29,tim savas,,
0,0,2,0,0,3,4.12,5,43,tim savas,,
0,0,2,0,0,5,4.12,5,32,tim savas,,
0,0,2,0,1,0,4.12,4,24,tim savas,,
0,0,2,0,1,2,4.12,3,14,tim savas,,
0,0,2,0,1,4,4.12,5.5,37,tim savas,,
0,0,2,0,2,1,4.12,4,26,tim savas,,
0,0,2,0,2,3,4.12,6.5,75,tim savas,,0.31
0,0,2,0,2,5,4.12,6.5,37,tim savas,,
0,0,2,0,3,0,4.12,5.5,40,tim savas,,0.2
0,0,2,0,3,2,4.12,6.5,67,tim savas,,0.38
0,0,2,0,3,4,4.12,5.5,32,tim savas,,
0,0,2,0,4,1,4.12,5,38,tim savas,,
0,0,2,0,4,3,4.12,6.5,49,tim savas,,
0,0,2,0,4,5,4.12,5,27,tim savas,,
0,0,2,0,5,0,4.12,5,48,tim savas,,
0,0,2,0,5,2,4.12,4,26,tim savas,,
0,0,2,0,5,4,4.12,4,37,tim savas,,
